date,symbol,high,low,close,open
2021-01-04,VN30F2101,1115.00,1090.20,1109.40,1091.00
2021-01-05,VN30F2101,1115.70,1100.10,1111.00,1106.50
2021-01-06,VN30F2101,1132.50,1114.10,1125.00,1116.50
2021-01-07,VN30F2101,1148.90,1124.20,1148.90,1134.80
2021-01-08,VN30F2101,1176.60,1146.00,1176.60,1146.70
2021-01-11,VN30F2101,1196.80,1177.20,1193.10,1180.90
2021-01-12,VN30F2101,1198.00,1184.20,1191.90,1197.90
2021-01-13,VN30F2101,1201.60,1179.00,1192.00,1195.00
2021-01-14,VN30F2101,1195.60,1182.00,1188.90,1190.80
2021-01-15,VN30F2102,1199.80,1194.10,1198.00,1195.90
2021-01-18,VN30F2102,1200.00,1190.00,1190.00,1198.50
2021-01-19,VN30F2102,1193.90,1110.00,1125.00,1193.00
2021-01-20,VN30F2102,1176.00,1090.00,1156.00,1130.00
2021-01-21,VN30F2102,1184.30,1143.10,1181.00,1157.90
2021-01-22,VN30F2102,1189.20,1168.10,1173.50,1183.00
2021-01-25,VN30F2102,1178.40,1166.40,1173.10,1172.00
2021-01-26,VN30F2102,1173.30,1115.00,1133.00,1171.80
2021-01-27,VN30F2102,1134.80,1078.00,1082.20,1127.50
2021-01-28,VN30F2102,1050.00,1006.50,1006.50,1050.00
2021-01-29,VN30F2102,1076.90,966.30,1076.90,974.00
2021-02-01,VN30F2102,1075.80,1030.00,1030.00,1065.00
2021-02-02,VN30F2102,1098.60,1031.00,1092.00,1039.00
2021-02-03,VN30F2102,1143.00,1097.00,1124.90,1100.20
2021-02-04,VN30F2102,1134.00,1106.20,1115.00,1126.60
2021-02-05,VN30F2102,1146.00,1122.20,1139.90,1125.00
2021-02-08,VN30F2102,1139.50,1075.00,1092.00,1138.20
2021-02-09,VN30F2102,1142.90,1095.00,1130.30,1100.00
2021-02-17,VN30F2102,1176.60,1140.10,1176.60,1140.50
2021-02-18,VN30F2102,1187.30,1166.60,1187.30,1183.00
2021-02-19,VN30F2103,1193.30,1168.90,1178.00,1176.00
2021-02-22,VN30F2103,1199.80,1169.10,1173.10,1182.40
2021-02-23,VN30F2103,1197.90,1176.20,1186.40,1178.10
2021-02-24,VN30F2103,1199.80,1148.20,1162.00,1191.30
2021-02-25,VN30F2103,1182.00,1159.70,1182.00,1177.00
2021-02-26,VN30F2103,1179.90,1146.10,1174.00,1161.80
2021-03-01,VN30F2103,1194.00,1182.40,1193.00,1183.50
2021-03-02,VN30F2103,1201.50,1186.00,1194.00,1198.10
2021-03-03,VN30F2103,1200.50,1190.20,1199.50,1192.20
2021-03-04,VN30F2103,1200.70,1165.00,1181.30,1195.90
2021-03-05,VN30F2103,1175.40,1159.70,1169.00,1168.90
2021-03-08,VN30F2103,1183.40,1160.60,1165.00,1180.60
2021-03-09,VN30F2103,1171.00,1149.00,1158.50,1165.10
2021-03-10,VN30F2103,1178.90,1156.20,1178.90,1161.90
2021-03-11,VN30F2103,1194.30,1184.10,1191.30,1185.00
2021-03-12,VN30F2103,1194.20,1183.50,1190.00,1192.90
2021-03-15,VN30F2103,1192.00,1186.60,1188.80,1189.00
2021-03-16,VN30F2103,1191.50,1180.10,1186.20,1191.10
2021-03-17,VN30F2103,1197.80,1182.70,1197.80,1184.10
2021-03-18,VN30F2103,1212.00,1203.00,1211.50,1204.10
2021-03-19,VN30F2104,1210.50,1199.20,1208.00,1203.90
2021-03-22,VN30F2104,1209.90,1192.40,1192.40,1207.60
2021-03-23,VN30F2104,1195.90,1179.90,1184.50,1195.70
2021-03-24,VN30F2104,1179.00,1155.00,1170.90,1178.50
2021-03-25,VN30F2104,1177.90,1158.10,1162.00,1172.00
2021-03-26,VN30F2104,1175.00,1143.80,1173.00,1164.20
2021-03-29,VN30F2104,1187.00,1166.60,1183.00,1176.80
2021-03-30,VN30F2104,1194.40,1179.10,1191.20,1182.80
2021-03-31,VN30F2104,1199.90,1189.00,1191.90,1192.50
2021-04-01,VN30F2104,1237.00,1191.80,1235.50,1193.00
2021-04-02,VN30F2104,1249.00,1232.50,1234.00,1241.00
2021-04-05,VN30F2104,1258.60,1239.50,1257.00,1241.00
2021-04-06,VN30F2104,1259.00,1246.00,1252.10,1256.80
2021-04-07,VN30F2104,1256.60,1247.60,1252.00,1249.50
2021-04-08,VN30F2104,1258.90,1241.00,1243.20,1253.10
2021-04-09,VN30F2104,1253.90,1238.50,1251.90,1244.80
2021-04-12,VN30F2104,1281.90,1257.10,1274.60,1260.00
2021-04-13,VN30F2104,1296.10,1267.00,1271.00,1280.20
2021-04-14,VN30F2104,1293.00,1265.50,1292.00,1268.00
2021-04-15,VN30F2104,1298.90,1282.50,1283.90,1294.80
2021-04-16,VN30F2105,1285.50,1256.10,1273.50,1283.50
2021-04-19,VN30F2105,1312.00,1271.60,1312.00,1276.00
2021-04-20,VN30F2105,1334.00,1282.10,1300.00,1316.00
2021-04-22,VN30F2105,1312.80,1261.20,1261.20,1301.00
2021-04-23,VN30F2105,1296.70,1249.10,1296.70,1260.90
2021-04-26,VN30F2105,1306.40,1249.70,1254.00,1297.00
2021-04-27,VN30F2105,1277.80,1253.00,1265.00,1253.00
2021-04-28,VN30F2105,1288.70,1261.00,1275.00,1268.00
2021-04-29,VN30F2105,1305.00,1282.20,1301.00,1285.00
2021-05-04,VN30F2105,1327.10,1273.20,1320.00,1278.00
2021-05-05,VN30F2105,1352.70,1320.10,1335.90,1323.20
2021-05-06,VN30F2105,1343.90,1327.10,1336.50,1340.60
2021-05-07,VN30F2105,1339.80,1314.00,1323.80,1336.20
2021-05-10,VN30F2105,1375.00,1322.80,1375.00,1323.20
2021-05-11,VN30F2105,1385.00,1348.30,1350.10,1373.50
2021-05-12,VN30F2105,1384.00,1338.40,1382.10,1347.50
2021-05-13,VN30F2105,1383.70,1360.10,1363.90,1376.00
2021-05-14,VN30F2105,1391.70,1369.00,1374.00,1372.20
2021-05-17,VN30F2105,1388.30,1365.00,1367.00,1382.10
2021-05-18,VN30F2105,1379.60,1360.60,1375.00,1371.90
2021-05-19,VN30F2105,1407.40,1373.10,1404.90,1373.30
2021-05-20,VN30F2105,1425.00,1397.10,1425.00,1407.10
2021-05-21,VN30F2106,1423.00,1406.40,1414.00,1412.40
2021-05-24,VN30F2106,1428.50,1414.20,1426.00,1415.00
2021-05-25,VN30F2106,1443.30,1423.50,1438.00,1427.00
2021-05-26,VN30F2106,1453.00,1436.70,1453.00,1439.00
2021-05-27,VN30F2106,1456.00,1430.00,1430.00,1453.00
2021-05-28,VN30F2106,1464.80,1433.60,1462.50,1434.20
2021-05-31,VN30F2106,1480.80,1443.00,1479.50,1459.90
2021-06-01,VN30F2106,1497.40,1475.70,1487.60,1485.00
2021-06-02,VN30F2106,1494.40,1468.00,1481.80,1487.50
2021-06-03,VN30F2106,1507.50,1483.10,1504.00,1486.50
2021-06-04,VN30F2106,1510.90,1495.50,1505.90,1504.60
2021-06-07,VN30F2106,1509.20,1473.00,1485.00,1507.00
2021-06-08,VN30F2106,1498.40,1400.00,1429.90,1488.10
2021-06-09,VN30F2106,1473.80,1426.00,1459.00,1439.90
2021-06-10,VN30F2106,1470.00,1438.00,1453.00,1460.90
2021-06-11,VN30F2106,1494.90,1456.20,1493.20,1458.90
2021-06-14,VN30F2106,1509.30,1485.20,1497.50,1494.20
2021-06-15,VN30F2106,1505.80,1486.10,1491.00,1498.10
2021-06-16,VN30F2106,1494.30,1461.50,1468.90,1490.70
2021-06-17,VN30F2106,1472.80,1452.00,1463.90,1462.00
2021-06-18,VN30F2107,1491.70,1469.00,1485.00,1470.00
2021-06-21,VN30F2107,1487.00,1471.00,1474.10,1476.00
2021-06-22,VN30F2107,1500.90,1483.20,1490.40,1484.80
2021-06-23,VN30F2107,1504.10,1484.00,1490.40,1492.50
2021-06-24,VN30F2107,1503.00,1478.00,1488.00,1497.60
