type,capital_open,capital_close,date_open,date_close
LONG,1000000000.0,1000664607.2374228,2021-02-09 13:38:00,2021-02-09 13:56:00
LONG,1000664607.2374228,1003133676.6864426,2021-02-09 14:06:00,2021-02-17 13:00:00
LONG,1003133676.6864426,1003377440.0648577,2021-02-17 13:20:00,2021-02-17 13:34:00
LONG,1003377440.0648577,1003672323.5041022,2021-02-17 13:55:00,2021-02-17 14:15:00
LONG,1003672323.5041022,1003521427.3847952,2021-02-18 09:14:00,2021-02-18 09:34:00
LONG,1003521427.3847952,1003943161.3066268,2021-02-18 09:46:00,2021-02-18 10:07:00
LONG,1003943161.3066268,1003869391.8344699,2021-02-18 11:10:00,2021-02-19 09:52:00
LONG,1003869391.8344699,1004244298.3768597,2021-02-19 10:24:00,2021-02-19 11:03:00
LONG,1004244298.3768597,1004170767.6127132,2021-02-19 11:11:00,2021-02-19 13:09:00
LONG,1004170767.6127132,1004469673.3222733,2021-02-19 13:14:00,2021-02-19 13:22:00
LONG,1004469673.3222733,1004616033.3437377,2021-02-19 13:35:00,2021-02-19 13:46:00
LONG,1004616033.3437377,1004847320.3880141,2021-02-19 13:56:00,2021-02-22 09:43:00
SHORT,1004847320.3880141,1005018966.3035634,2021-02-22 09:44:00,2021-02-22 10:06:00
LONG,1005018966.3035634,1005358266.4991069,2021-02-22 10:50:00,2021-02-22 13:06:00
LONG,1005358266.4991069,1004619948.6296381,2021-02-22 13:19:00,2021-02-23 10:53:00
LONG,1004619948.6296381,1004699019.0893728,2021-02-23 11:21:00,2021-02-23 13:33:00
LONG,1004699019.0893728,1006039015.3222264,2021-02-23 13:42:00,2021-02-23 14:06:00
LONG,1006039015.3222264,1006362535.8452058,2021-02-23 14:18:00,2021-02-24 09:09:00
LONG,1006362535.8452058,1006407113.542155,2021-02-24 09:44:00,2021-02-24 09:58:00
LONG,1006407113.542155,1006477073.1656257,2021-02-24 10:04:00,2021-02-24 10:27:00
LONG,1006477073.1656257,1004632160.4516761,2021-02-24 11:03:00,2021-02-25 13:56:00
SHORT,1004632160.4516761,1004660464.7813056,2021-02-25 13:57:00,2021-02-25 14:11:00
LONG,1004660464.7813056,1005665125.2460868,2021-02-26 11:01:00,2021-02-26 13:54:00
LONG,1005665125.2460868,1005760927.1000346,2021-03-01 09:19:00,2021-03-01 09:54:00
LONG,1005760927.1000346,1005856810.8296915,2021-03-01 10:03:00,2021-03-01 10:14:00
LONG,1005856810.8296915,1005842417.2557992,2021-03-01 10:42:00,2021-03-01 13:00:00
LONG,1005842417.2557992,1005988423.9164681,2021-03-01 13:57:00,2021-03-01 14:29:00
LONG,1005988423.9164681,1005781254.381111,2021-03-02 10:05:00,2021-03-03 10:13:00
LONG,1005781254.381111,1005557038.3045311,2021-03-03 10:36:00,2021-03-03 13:03:00
LONG,1005557038.3045311,1004123766.8746833,2021-03-04 09:32:00,2021-03-08 09:00:00
LONG,1004123766.8746833,1004109300.6848215,2021-03-08 09:22:00,2021-03-08 09:38:00
LONG,1004109300.6848215,1003966819.3752673,2021-03-08 09:44:00,2021-03-08 10:33:00
LONG,1003966819.3752673,1003293400.9086788,2021-03-08 10:44:00,2021-03-09 11:12:00
SHORT,1003293400.9086788,1003399282.5803319,2021-03-09 11:13:00,2021-03-09 13:24:00
LONG,1003399282.5803319,1003315558.0810542,2021-03-09 13:40:00,2021-03-10 09:00:00
LONG,1003315558.0810542,1003689234.011425,2021-03-10 09:20:00,2021-03-10 10:36:00
LONG,1003689234.011425,1004035927.0441726,2021-03-10 10:57:00,2021-03-10 11:26:00
LONG,1004035927.0441726,1004106240.0562758,2021-03-11 09:18:00,2021-03-11 09:30:00
LONG,1004106240.0562758,1004227084.352125,2021-03-11 09:47:00,2021-03-11 09:55:00
LONG,1004227084.352125,1004559570.6572223,2021-03-11 10:05:00,2021-03-11 10:15:00
LONG,1004559570.6572223,1004579014.2910901,2021-03-11 11:01:00,2021-03-11 13:01:00
LONG,1004579014.2910901,1004742092.5565104,2021-03-11 13:43:00,2021-03-11 13:59:00
LONG,1004742092.5565104,1004677178.0229253,2021-03-12 09:05:00,2021-03-12 09:42:00
LONG,1004677178.0229253,1004755721.2118595,2021-03-12 09:49:00,2021-03-12 10:00:00
LONG,1004755721.2118595,1004623383.4197199,2021-03-12 11:08:00,2021-03-15 09:55:00
LONG,1004623383.4197199,1004533097.2597789,2021-03-15 10:22:00,2021-03-16 09:32:00
LONG,1004533097.2597789,1004560977.4887187,2021-03-16 09:53:00,2021-03-16 10:06:00
LONG,1004560977.4887187,1004462026.794691,2021-03-16 10:29:00,2021-03-17 09:19:00
LONG,1004462026.794691,1004608731.6749235,2021-03-17 09:43:00,2021-03-17 09:55:00
LONG,1004608731.6749235,1004526884.6675555,2021-03-17 10:52:00,2021-03-17 11:28:00
LONG,1004526884.6675555,1004696041.8285571,2021-03-18 09:25:00,2021-03-18 09:38:00
LONG,1004696041.8285571,1004457599.9497803,2021-03-18 10:24:00,2021-03-18 11:21:00
LONG,1004457599.9497803,1004793279.8675014,2021-03-18 13:24:00,2021-03-18 14:25:00
LONG,1004793279.8675014,1005104772.4650667,2021-03-19 09:00:00,2021-03-19 14:16:00
LONG,1005104772.4650667,1005198847.5410947,2021-03-22 09:27:00,2021-03-22 09:43:00
LONG,1005198847.5410947,1004076683.7356597,2021-03-22 10:03:00,2021-03-23 09:32:00
SHORT,1004076683.7356597,1004138082.293134,2021-03-23 09:33:00,2021-03-23 09:40:00
LONG,1004138082.293134,1003883403.3773005,2021-03-25 09:25:00,2021-03-25 10:01:00
LONG,1003883403.3773005,1004049341.6240047,2021-03-25 10:13:00,2021-03-25 10:22:00
LONG,1004049341.6240047,1003375120.7777094,2021-03-25 13:10:00,2021-03-26 09:17:00
SHORT,1003375120.7777094,1003231227.5658846,2021-03-26 09:18:00,2021-03-26 09:38:00
LONG,1003231227.5658846,1003397356.8039113,2021-03-26 13:42:00,2021-03-26 13:55:00
LONG,1003397356.8039113,1003399923.0375605,2021-03-29 09:11:00,2021-03-29 09:39:00
LONG,1003399923.0375605,1003539426.7798456,2021-03-29 09:50:00,2021-03-29 10:00:00
LONG,1003539426.7798456,1003670434.913205,2021-03-29 10:36:00,2021-03-29 11:00:00
LONG,1003670434.913205,1003870140.4736959,2021-03-29 11:15:00,2021-03-29 13:26:00
LONG,1003870140.4736959,1003983144.8991575,2021-03-30 10:13:00,2021-03-30 10:22:00
LONG,1003983144.8991575,1004206346.5619711,2021-03-30 10:37:00,2021-03-30 11:05:00
LONG,1004206346.5619711,1004344501.2163343,2021-03-30 11:19:00,2021-03-30 13:00:00
LONG,1004344501.2163343,1004448591.5210611,2021-03-30 13:25:00,2021-03-30 13:42:00
